Sekolah_KabKota_Provinsi,Sekolah,lat,lng
SMAIT NURUL ILMI,SMAIT NURUL ILMI,-1.5,103.0
SMAS BINA KASIH,SMAS BINA KASIH,-1.5,103.0
SMAS XAVERIUS 1,SMAS XAVERIUS 1,-1.5,103.0
MAN INSAN CENDEKIA JAMBI,MAN INSAN CENDEKIA JAMBI,-1.5953342,103.4670167
SMAN TITIAN TERAS,SMAN TITIAN TERAS,-1.5970586999999998,103.4655687
SMAN 1 KOTA JAMBI,SMAN 1 KOTA JAMBI,-1.5998065,103.4787021
SMAN 3 KOTA JAMBI,SMAN 3 KOTA JAMBI,-1.6160534,103.620506
SMAN 1 BELINYU,SMAN 1 BELINYU,-1.63558,105.77105
SMAN 1 KETAPANG,SMAN 1 KETAPANG,-1.83862,109.97728
SMAN 1 PANGKALAN BUN,SMAN 1 PANGKALAN BUN,-2.0,113.5
SMKN 1 PANGKALPINANG,SMKN 1 PANGKALPINANG,-2.1244169,106.1001575
SMAN 1 PANGKAL PINANG,SMAN 1 PANGKAL PINANG,-2.1246204,106.1056044
MAN KOTA PALANGKA RAYA,MAN KOTA PALANGKA RAYA,-2.2136,113.9108
SMAN 2 PALANGKA RAYA,SMAN 2 PALANGKA RAYA,-2.2136,113.9108
MAN 2 HULU SUNGAI UTARA,MAN 2 HULU SUNGAI UTARA,-2.3918,115.412
SMAN BANUA KAL SEL,SMAN BANUA KAL SEL,-2.5,115.5
SMAS KRISTEN KANAAN,SMAS KRISTEN KANAAN,-2.5,115.5
SMAS GIBS,SMAS GIBS,-2.5,115.5
MAN INSAN CENDEKIA TANAH LAUT,MAN INSAN CENDEKIA TANAH LAUT,-2.5,115.5
SMAN 1 SAMPIT,SMAN 1 SAMPIT,-2.5315,112.9496
SMAN 1 SUNGAI LIAT,SMAN 1 SUNGAI LIAT,-2.66667,106.66667
SMAN 1 KELAPA KAMPIT,SMAN 1 KELAPA KAMPIT,-2.66667,106.66667
MAN INSAN CENDEKIA BANGKA TENGAH,MAN INSAN CENDEKIA BANGKA TENGAH,-2.66667,106.66667
SMAN 1 TANJUNG PANDAN,SMAN 1 TANJUNG PANDAN,-2.73353,107.63477
SMKN 1 TANJUNGPANDAN,SMKN 1 TANJUNGPANDAN,-2.73353,107.63477
SMAN 1 UNGGULAN MUARA ENIM,SMAN 1 UNGGULAN MUARA ENIM,-2.75,103.83333
MAN Insan Cendekia Oki,MAN Insan Cendekia Oki,-2.75,103.83333
MAN 1 KOTA LUBUK LINGGAU,MAN 1 KOTA LUBUK LINGGAU,-2.75,103.83333
MAN 1 TAPIN,MAN 1 TAPIN,-2.8778,115.0542
SMAN 2 SEKAYU,SMAN 2 SEKAYU,-2.8819,103.8344
SMAN 1 MANGGAR,SMAN 1 MANGGAR,-2.88333,108.26667
SMA NEGERI 03 PALEMBANG,SMA NEGERI 03 PALEMBANG,-2.9167300000000003,104.7458
SMA NEGERI 01 PALEMBANG,SMA NEGERI 01 PALEMBANG,-2.9167300000000003,104.7458
SMA NEGERI 06 PALEMBANG,SMA NEGERI 06 PALEMBANG,-2.9167300000000003,104.7458
SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG,SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG,-2.9167300000000003,104.7458
SMA NEGERI 17 PALEMBANG,SMA NEGERI 17 PALEMBANG,-2.9416134,104.7474659
SMA KUSUMA BANGSA PALEMBANG,SMA KUSUMA BANGSA PALEMBANG,-2.9497191,104.776971
SMAS KRISTEN BARANA,SMAS KRISTEN BARANA,-2.9518,120.0017
SMA XAVERIUS 01 PALEMBANG,SMA XAVERIUS 01 PALEMBANG,-2.9670191,104.7636671
SMA XAVERIUS 03 PALEMBANG,SMA XAVERIUS 03 PALEMBANG,-2.9670191,104.7636671
SMAS KRISTEN 2 RANTEPAO,SMAS KRISTEN 2 RANTEPAO,-2.9701,119.8978
SMAN SUMATERA SELATAN,SMAN SUMATERA SELATAN,-3.0212585,104.7782125
SMAS KRISTEN REHOBOTH,SMAS KRISTEN REHOBOTH,-3.23846,130.14527
SMAN 7 BANJARMASIN,SMAN 7 BANJARMASIN,-3.31987,114.59075
SMAN 1 BANJARMASIN,SMAN 1 BANJARMASIN,-3.31987,114.59075
SMAN 1 MARTAPURA,SMAN 1 MARTAPURA,-3.4109,114.8642
SMAN 1 BANJARBARU,SMAN 1 BANJARBARU,-3.4406,114.8365
SMAN 2 BANJARBARU,SMAN 2 BANJARBARU,-3.4406,114.8365
SMAN 1 REJANG LEBONG,SMAN 1 REJANG LEBONG,-3.4636924,102.6837683
SMAN SIWALIMA AMBON,SMAN SIWALIMA AMBON,-3.69543,128.18141
SMAN 4 LAHAT,SMAN 4 LAHAT,-3.78514,103.54279
SMAN 1 PELAIHARI,SMAN 1 PELAIHARI,-3.7987,114.7788
SMAS SINT CAROLUS,SMAS SINT CAROLUS,-3.80044,102.26554
SMAN 10 KAUR (PENTAGON),SMAN 10 KAUR (PENTAGON),-3.80044,102.26554
MAN INSAN CENDEKIA KOTA KENDARI,MAN INSAN CENDEKIA KOTA KENDARI,-3.9778,122.51507
SMA NEGERI 5 PAREPARE,SMA NEGERI 5 PAREPARE,-4.0135,119.6255
SMAS ISLAM ATHIRAH,SMAS ISLAM ATHIRAH,-4.33333,120.25
SMAS ZION,SMAS ZION,-4.33333,120.25
SMAS KATOLIK RAJAWALI,SMAS KATOLIK RAJAWALI,-4.33333,120.25
SMAN 5 BENGKULU,SMAN 5 BENGKULU,-4.4440366,102.9222524
MAN INSAN CENDEKIA BENGKULU TENGAH,MAN INSAN CENDEKIA BENGKULU TENGAH,-4.49115,103.5054
SMAS IT AR RAIHAN ,SMAS IT AR RAIHAN ,-5.0,105.0
SMA S FRANSISCUS,SMA S FRANSISCUS,-5.0,105.0
SMAS IT BAITUL MUSLIM,SMAS IT BAITUL MUSLIM,-5.0,105.0
SMA S AL KAUTSAR ,SMA S AL KAUTSAR ,-5.0,105.0
SMA KEBANGSAAN,SMA KEBANGSAAN,-5.0,105.0
SMAN 1 METRO,SMAN 1 METRO,-5.11306,105.30667
SMAN 2 MAKASSAR,SMAN 2 MAKASSAR,-5.14,119.4221
SMAN 5 GOWA,SMAN 5 GOWA,-5.16667,119.66667
MAN INSAN CENDEKIA GOWA,MAN INSAN CENDEKIA GOWA,-5.16667,119.66667
SMKN 11 MAKASSAR,SMKN 11 MAKASSAR,-5.1701857,119.4299465
SMAN 17 MAKASSAR,SMAN 17 MAKASSAR,-5.1715198,119.4159242
SMAN 5 MAKASSAR,SMAN 5 MAKASSAR,-5.1715198,119.4159242
SMAS SUGAR GROUP B MATARAM,SMAS SUGAR GROUP B MATARAM,-5.29974,105.74439
SMAN 1 PRINGSEWU,SMAN 1 PRINGSEWU,-5.2998722,104.9242154
SMA S XAVERIUS BANDAR LAMPUNG,SMA S XAVERIUS BANDAR LAMPUNG,-5.42544,105.25803
SMAN 2 BANDAR LAMPUNG,SMAN 2 BANDAR LAMPUNG,-5.42544,105.25803
SMAN 9 BANDAR LAMPUNG,SMAN 9 BANDAR LAMPUNG,-5.42544,105.25803
SMAN 2 KRAKATAU STEEL CILEGON,SMAN 2 KRAKATAU STEEL CILEGON,-5.9924725,106.0328066
SMAN 1 CILEGON,SMAN 1 CILEGON,-6.0255837,106.0493008
SMAN 3 KABUPATEN TANGERANG,SMAN 3 KABUPATEN TANGERANG,-6.0653159,106.6521484
SMAN 10,SMAN 10,-6.0653159,106.6521484
SMAN 23 KABUPATEN TANGERANG,SMAN 23 KABUPATEN TANGERANG,-6.0653159,106.6521484
SMAN 1 KABUPATEN TANGERANG,SMAN 1 KABUPATEN TANGERANG,-6.0653159,106.6521484
SMA PESANTREN UNGGUL AL BAYAN ANYER,SMA PESANTREN UNGGUL AL BAYAN ANYER,-6.06964,105.88888
SMA TARAKANITA 1 JAKARTA,SMA TARAKANITA 1 JAKARTA,-6.1143614,106.7913193
SMAN 52 JAKARTA,SMAN 52 JAKARTA,-6.122613,106.92425
SMAN 1 KOTA SERANG,SMAN 1 KOTA SERANG,-6.12563,106.14999
MAN 2 KOTA SERANG,MAN 2 KOTA SERANG,-6.1266296,106.1636337
SMAS KRISTEN IPEKA SUNTER,SMAS KRISTEN IPEKA SUNTER,-6.1408,106.8698
SMKN 42 JAKARTA,SMKN 42 JAKARTA,-6.1440935,106.7293681
SMAN 84 JAKARTA,SMAN 84 JAKARTA,-6.144834,106.70458
SMAN 7 TANGERANG,SMAN 7 TANGERANG,-6.1549221,106.3977496
SMAN 4 TANGERANG,SMAN 4 TANGERANG,-6.165195,106.6179063
SMAS MARDI WALUYA,SMAS MARDI WALUYA,-6.17361,107.33278
SMAS KRISTEN IPEKA TOMANG,SMAS KRISTEN IPEKA TOMANG,-6.1745,106.7963
SMAN 60 JAKARTA,SMAN 60 JAKARTA,-6.17466,106.7559458
SMAN 75 JAKARTA,SMAN 75 JAKARTA,-6.17466,106.7559458
SMAN 50 JAKARTA,SMAN 50 JAKARTA,-6.17466,106.7559458
SMAN 90 JAKARTA,SMAN 90 JAKARTA,-6.17466,106.7559458
SMAN 42 JAKARTA,SMAN 42 JAKARTA,-6.17466,106.7559458
SMAN 112 JAKARTA,SMAN 112 JAKARTA,-6.17466,106.7559458
SMAN 77 JAKARTA,SMAN 77 JAKARTA,-6.17466,106.7559458
SMAN 99 JAKARTA,SMAN 99 JAKARTA,-6.17466,106.7559458
SMAN 74 JAKARTA,SMAN 74 JAKARTA,-6.17466,106.7559458
SMAN 95 JAKARTA,SMAN 95 JAKARTA,-6.17466,106.7559458
SMAN 22 JAKARTA,SMAN 22 JAKARTA,-6.17466,106.7559458
SMAN 97 JAKARTA,SMAN 97 JAKARTA,-6.17466,106.7559458
SMAN 79 JAKARTA,SMAN 79 JAKARTA,-6.17466,106.7559458
SMAN 35 JAKARTA,SMAN 35 JAKARTA,-6.17466,106.7559458
SMAN 37 JAKARTA,SMAN 37 JAKARTA,-6.17466,106.7559458
SMAN 87 JAKARTA,SMAN 87 JAKARTA,-6.17466,106.7559458
SMAN 94 JAKARTA,SMAN 94 JAKARTA,-6.17466,106.7559458
SMAN 7 JAKARTA,SMAN 7 JAKARTA,-6.17466,106.7559458
SMAN 20 JAKARTA,SMAN 20 JAKARTA,-6.17466,106.7559458
SMAN 5 JAKARTA,SMAN 5 JAKARTA,-6.17466,106.7559458
SMAN 101 JAKARTA,SMAN 101 JAKARTA,-6.17466,106.7559458
SMAN 111 JAKARTA,SMAN 111 JAKARTA,-6.17466,106.7559458
SMAN 105 JAKARTA,SMAN 105 JAKARTA,-6.17466,106.7559458
SMAN 59 JAKARTA,SMAN 59 JAKARTA,-6.17466,106.7559458
SMAN 72 JAKARTA,SMAN 72 JAKARTA,-6.17466,106.7559458
SMAN 2 JAKARTA,SMAN 2 JAKARTA,-6.17466,106.7559458
SMAN 78 JAKARTA,SMAN 78 JAKARTA,-6.17466,106.7559458
SMAN 102 JAKARTA,SMAN 102 JAKARTA,-6.17466,106.7559458
SMAN 54 JAKARTA,SMAN 54 JAKARTA,-6.17466,106.7559458
SMAN 76 JAKARTA,SMAN 76 JAKARTA,-6.17466,106.7559458
SMAN 53 JAKARTA,SMAN 53 JAKARTA,-6.17466,106.7559458
SMAN 29 JAKARTA,SMAN 29 JAKARTA,-6.17466,106.7559458
SMAN 57 JAKARTA,SMAN 57 JAKARTA,-6.17466,106.7559458
SMAN 47 JAKARTA,SMAN 47 JAKARTA,-6.17466,106.7559458
SMAN 9 JAKARTA,SMAN 9 JAKARTA,-6.17466,106.7559458
SMAN 11 JAKARTA,SMAN 11 JAKARTA,-6.17466,106.7559458
SMAN 113 JAKARTA,SMAN 113 JAKARTA,-6.17466,106.7559458
SMAN 4 JAKARTA,SMAN 4 JAKARTA,-6.17466,106.7559458
SMAN 110 JAKARTA,SMAN 110 JAKARTA,-6.17466,106.7559458
SMAN 27 JAKARTA,SMAN 27 JAKARTA,-6.17466,106.7559458
SMAN 70 JAKARTA,SMAN 70 JAKARTA,-6.17466,106.7559458
SMAN 21 JAKARTA,SMAN 21 JAKARTA,-6.17466,106.7559458
SMAN 44 JAKARTA,SMAN 44 JAKARTA,-6.17466,106.7559458
SMAN 45 JAKARTA,SMAN 45 JAKARTA,-6.1747471,106.9057989
SMAN 10 BEKASI,SMAN 10 BEKASI,-6.176106,106.9811153
SMAK PENABUR KOTA TANGERANG,SMAK PENABUR KOTA TANGERANG,-6.17806,106.63
SMAS ISLAM TERPADU ALIA TANGERANG,SMAS ISLAM TERPADU ALIA TANGERANG,-6.17806,106.63
SMKN 26 JAKARTA,SMKN 26 JAKARTA,-6.193898,106.88623
SMK CARAKA NUSANTARA,SMK CARAKA NUSANTARA,-6.1969371,106.9495989
SMAN 14 BEKASI,SMAN 14 BEKASI,-6.197052,107.0085411
SMAN 65 JAKARTA,SMAN 65 JAKARTA,-6.2008447,106.7690199
SMAN 24 JAKARTA,SMAN 24 JAKARTA,-6.2107899,106.7963014
SMAN 12 JAKARTA,SMAN 12 JAKARTA,-6.2107899,106.7963014
SMAN 4 BEKASI,SMAN 4 BEKASI,-6.2133601,106.9834352
PKBM Windsor,PKBM Windsor,-6.21462,106.84513
SMAS GLOBAL ISLAMIC SCHOOL,SMAS GLOBAL ISLAMIC SCHOOL,-6.21462,106.84513
SMAS DON BOSCO 2 JAKARTA,SMAS DON BOSCO 2 JAKARTA,-6.21462,106.84513
SMA EMIISc Jakarta,SMA EMIISc Jakarta,-6.21462,106.84513
SMAS SANTO YOSEPH JAKARTA,SMAS SANTO YOSEPH JAKARTA,-6.21462,106.84513
SMAS FONS VITAE 1 JAKARTA,SMAS FONS VITAE 1 JAKARTA,-6.21462,106.84513
SMAIT Buahati Islamic School,SMAIT Buahati Islamic School,-6.21462,106.84513
SMAS PANGUDI LUHUR JAKARTA,SMAS PANGUDI LUHUR JAKARTA,-6.21462,106.84513
SMAS KRISTEN 2 BPK PENABUR,SMAS KRISTEN 2 BPK PENABUR,-6.21462,106.84513
SMAS BUDI MULIA JAKARTA,SMAS BUDI MULIA JAKARTA,-6.21462,106.84513
SMAS JAKARTA ISLAMIC SCHOOL,SMAS JAKARTA ISLAMIC SCHOOL,-6.21462,106.84513
SMA ISLAM AL-AZHAR 2 JAKARTA,SMA ISLAM AL-AZHAR 2 JAKARTA,-6.21462,106.84513
MAN 13 JAKARTA,MAN 13 JAKARTA,-6.21462,106.84513
